,project,method,algorithm,batch_size,sbs_delays,confidence
125,vagrant.csv,ssr,BATCHBISECT,16,"[7, 7, 9, 15, 15]",20
126,open-build-service.csv,ssr,BATCHSTOP4,4,"[4, 4, 2, 4, 15, 2, 18, 10, 6, 12, 6, 4, 2, 2, 5, 9, 13, 2, 2, 9, 13, 18, 5, 7]",18
127,open-build-service.csv,ssr,BATCHSTOP4,8,"[4, 2, 4, 2, 9, 14, 12, 7, 8, 4, 2, 7, 10, 14, 18, 5, 5, 7, 9, 5, 7]",19
128,open-build-service.csv,ssr,BATCHSTOP4,16,"[15, 2, 17, 22, 24]",17
129,open-build-service.csv,ssr,BATCH4,4,"[4, 4, 2, 4, 15, 2, 18, 10, 6, 12, 6, 4, 2, 2, 5, 9, 13, 2, 2, 9, 13, 18, 5, 7]",18
130,open-build-service.csv,ssr,BATCHBISECT,1,"[2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 2, 3, 3]",3
131,open-build-service.csv,ssr,BATCHBISECT,2,"[2, 3, 3, 2, 3, 3, 3, 2, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 2, 3]",3
132,open-build-service.csv,ssr,BATCHBISECT,4,"[4, 4, 2, 4, 15, 2, 18, 10, 6, 12, 6, 4, 2, 2, 5, 9, 13, 2, 2, 9, 13, 18, 5, 7]",18
133,open-build-service.csv,ssr,BATCHBISECT,8,"[4, 2, 4, 2, 9, 14, 12, 7, 8, 4, 2, 7, 10, 14, 18, 5, 5, 7, 9, 5, 7]",19
134,open-build-service.csv,ssr,BATCHBISECT,16,"[15, 2, 17, 22, 24]",17
135,opal.csv,ssr,BATCHSTOP4,4,"[3, 3, 5, 4, 3, 5]",12
136,opal.csv,ssr,BATCHSTOP4,8,"[7, 10, 12, 4, 5, 15, 4]",16
137,opal.csv,ssr,BATCHSTOP4,16,"[11, 13, 7, 16]",20
138,opal.csv,ssr,BATCH4,4,"[3, 3, 5, 4, 3, 5]",12
139,opal.csv,ssr,BATCHBISECT,1,"[6, 3, 3, 5, 4, 3, 5]",15
140,opal.csv,ssr,BATCHBISECT,2,"[5, 2, 3, 5, 4, 3, 5]",14
141,opal.csv,ssr,BATCHBISECT,4,"[3, 3, 5, 4, 3, 5]",12
142,opal.csv,ssr,BATCHBISECT,8,"[7, 10, 12, 4, 5, 15, 4]",16
143,opal.csv,ssr,BATCHBISECT,16,"[11, 13, 7, 16]",20
144,sonarqube.csv,ssr,BATCHSTOP4,4,"[4, 8, 7, 3, 2, 6, 7, 10, 7, 4, 10, 2, 10, 6, 10]",13
145,sonarqube.csv,ssr,BATCHSTOP4,8,"[4, 6, 12, 4, 8, 5, 2, 12, 7, 15]",18
146,sonarqube.csv,ssr,BATCHSTOP4,16,"[4, 10, 5, 16]",20
147,sonarqube.csv,ssr,BATCH4,4,"[4, 8, 7, 3, 2, 6, 7, 10, 7, 4, 10, 2, 10, 6, 10]",13
148,sonarqube.csv,ssr,BATCHBISECT,1,"[3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 2]",3
149,sonarqube.csv,ssr,BATCHBISECT,2,"[4, 3, 4, 3, 4, 2, 2, 4, 3, 4]",4
150,sonarqube.csv,ssr,BATCHBISECT,4,"[4, 8, 7, 3, 2, 6, 7, 10, 7, 4, 10, 2, 10, 6, 10]",13
151,sonarqube.csv,ssr,BATCHBISECT,8,"[4, 6, 12, 4, 8, 5, 2, 12, 7, 15]",18
152,sonarqube.csv,ssr,BATCHBISECT,16,"[4, 10, 5, 16]",20
153,metasploit-framework.csv,ssr,BATCHSTOP4,4,"[5, 8, 2, 8, 11, 8, 10, 9, 3, 8, 4, 10, 17, 7]",18
154,metasploit-framework.csv,ssr,BATCHSTOP4,8,"[19, 15, 17, 19, 15, 3, 3, 13, 8, 6, 8, 5, 7, 16]",20
155,metasploit-framework.csv,ssr,BATCHSTOP4,16,"[2, 4, 13, 8, 2, 6, 14, 11, 10, 16, 11, 17, 16]",19
156,metasploit-framework.csv,ssr,BATCH4,4,"[5, 8, 2, 8, 11, 8, 10, 9, 3, 8, 4, 10, 17, 7]",18
157,metasploit-framework.csv,ssr,BATCHBISECT,1,"[2, 2, 2, 3, 2, 2, 3, 2, 3, 3, 2, 2, 2, 2]",3
158,metasploit-framework.csv,ssr,BATCHBISECT,2,"[10, 3, 2, 5, 6, 10, 5, 6, 3, 6, 4, 2, 7, 2, 7]",10
159,metasploit-framework.csv,ssr,BATCHBISECT,4,"[5, 8, 2, 8, 11, 8, 10, 9, 3, 8, 4, 10, 17, 7]",18
160,metasploit-framework.csv,ssr,BATCHBISECT,8,"[19, 15, 17, 19, 15, 3, 3, 13, 8, 6, 8, 5, 7, 16]",20
161,metasploit-framework.csv,ssr,BATCHBISECT,16,"[2, 4, 13, 8, 2, 6, 14, 11, 10, 16, 11, 17, 16]",19
162,rails.csv,ssr,BATCHSTOP4,4,"[6, 9, 4, 9, 4, 8, 3, 3, 2, 2, 4, 8, 8, 5, 6, 8, 4, 9, 2, 3, 5, 8, 4, 7, 8, 3, 6, 5, 7, 4, 8, 7, 3, 9, 6, 2, 8, 3, 6, 5, 8, 7, 8, 3, 2, 6, 9, 3, 9, 2, 4, 8, 3, 5, 5, 2, 6, 8, 2, 8, 2, 6, 6, 3, 6, 8, 7, 5, 2, 6, 5, 3, 5, 3, 5, 2, 8, 3, 5, 9, 2]",9
163,rails.csv,ssr,BATCHSTOP4,8,"[2, 8, 15, 18, 2, 10, 16, 15, 6, 9, 13, 15, 18, 4, 3, 17, 6, 13, 12, 7, 14, 3, 16, 3, 3, 7, 9, 13, 15, 18, 4, 6, 12, 10, 3, 4, 7, 9, 3, 13, 16, 3, 7, 8, 13, 17, 16, 11, 17, 10, 13, 3, 7, 18, 12, 3, 3, 9, 5]",18
164,rails.csv,ssr,BATCHSTOP4,16,"[7, 14, 17, 5, 2, 16, 9, 11, 15, 5, 13, 15, 6, 12, 12, 4, 13, 5]",17
165,rails.csv,ssr,BATCH4,4,"[6, 9, 4, 9, 4, 8, 3, 3, 2, 2, 4, 8, 8, 5, 6, 8, 4, 9, 2, 3, 5, 8, 4, 7, 8, 3, 6, 5, 7, 4, 8, 7, 3, 9, 6, 2, 8, 3, 6, 5, 8, 7, 8, 3, 2, 6, 9, 3, 9, 2, 4, 8, 3, 5, 5, 2, 6, 8, 2, 8, 2, 6, 6, 3, 6, 8, 7, 5, 2, 6, 5, 3, 5, 3, 5, 2, 8, 3, 5, 9, 2]",9
166,rails.csv,ssr,BATCHBISECT,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2
167,rails.csv,ssr,BATCHBISECT,2,"[3, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 2, 2, 3, 2, 3, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 2, 2, 2]",3
168,rails.csv,ssr,BATCHBISECT,4,"[6, 9, 4, 9, 4, 8, 3, 3, 2, 2, 4, 8, 8, 5, 6, 8, 4, 9, 2, 3, 5, 8, 4, 7, 8, 3, 6, 5, 7, 4, 8, 7, 3, 9, 6, 2, 8, 3, 6, 5, 8, 7, 8, 3, 2, 6, 9, 3, 9, 2, 4, 8, 3, 5, 5, 2, 6, 8, 2, 8, 2, 6, 6, 3, 6, 8, 7, 5, 2, 6, 5, 3, 5, 3, 5, 2, 8, 3, 5, 9, 2]",9
169,rails.csv,ssr,BATCHBISECT,8,"[2, 8, 15, 18, 2, 10, 16, 15, 6, 9, 13, 15, 18, 4, 3, 17, 6, 13, 12, 7, 14, 3, 16, 3, 3, 7, 9, 13, 15, 18, 4, 6, 12, 10, 3, 4, 7, 9, 3, 13, 16, 3, 7, 8, 13, 17, 16, 11, 17, 10, 13, 3, 7, 18, 12, 3, 3, 9, 5]",18
170,rails.csv,ssr,BATCHBISECT,16,"[7, 14, 17, 5, 2, 16, 9, 11, 15, 5, 13, 15, 6, 12, 12, 4, 13, 5]",17
171,fog.csv,ssr,BATCHSTOP4,4,"[3, 7, 3, 4, 10, 3, 9, 6, 4, 10]",10
172,fog.csv,ssr,BATCHSTOP4,8,"[12, 16, 3, 5, 10, 4, 6, 6, 10, 13, 16, 18, 3, 19, 6, 12]",19
173,fog.csv,ssr,BATCHSTOP4,16,"[8, 12, 3, 5, 10, 2, 8]",15
174,fog.csv,ssr,BATCH4,4,"[3, 7, 3, 4, 10, 3, 9, 6, 4, 10]",10
175,fog.csv,ssr,BATCHBISECT,1,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2
176,fog.csv,ssr,BATCHBISECT,2,"[2, 2, 2, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3]",3
177,fog.csv,ssr,BATCHBISECT,4,"[3, 7, 3, 4, 10, 3, 9, 6, 4, 10]",10
178,fog.csv,ssr,BATCHBISECT,8,"[12, 16, 3, 5, 10, 4, 6, 6, 10, 13, 16, 18, 3, 19, 6, 12]",19
179,fog.csv,ssr,BATCHBISECT,16,"[8, 12, 3, 5, 10, 2, 8]",15
